"","BitcoinLMean","BitcoinAMean","",""
"1",739.236428571429,735.052062518273,0,732.71
"1",743.401428571428,741.235594587068,0,742.69
"1",737.476785714286,741.770142872691,0,742.05
"1",735.210357142857,774.966769458461,0,772.43
"1",725.032857142857,757.223598287267,0,754.63
"1",730.456785714286,756.454323951908,0,756.62
"1",741.0325,758.65664950567,0,758.99
"1",750.883214285714,768.334831773062,0,769.72
"1",768.660714285715,770.241412580879,0,770.02
"1",753.861785714286,776.119857122,0,777
"1",755.573571428571,777.993047344895,0,777.99
"1",759.533928571429,775.477301147711,0,774.89
"1",768.834285714286,775.968445849545,0,776.75
"1",771.474642857143,776.269505948731,0,775.88
"1",778.724285714286,784.885159466598,0,788.67
"1",777.768571428572,793.708631619106,0,793.09
"1",776.853571428572,823.084593352229,0,824.21
"1",775.288928571429,847.515841701886,0,834.97
"1",780.194642857143,915.943209648674,0,901.31
"1",786.586785714287,983.408661958701,0,930.34
"1",791.172857142858,987.496089621597,0,963.38
"1",811.303928571429,969.261318295034,0,952.15
"1",844.513928571429,1004.00239850307,0,1013.42
"1",915.521785714287,1210.30881269359,0,1126.76
"1",914.93892857143,1009.43477668508,0,994.67
"1",936.963928571429,1011.60601128174,0,999.65
"1",956.216785714285,921.192428132265,0,910.49
"1",1051.34214285714,889.007950669584,0,906.05
"1",1102.25214285714,790.257410854102,0,785.22
"1",1008.47,737.521001269349,0,780.92
"1",1006.48535714286,822.873010910353,0,826.29
"1",928.023928571429,839.69723811054,0,830.5
"1",886.463928571429,901.654791103576,0,903.84
"1",777.665,924.596608936779,0,906.6
"1",776.785950892857,896.854186216314,0,895.798875
"1",815.937022767858,891.37328799552,0,893.6210875
"1",847.793645535715,920.280561304545,0,922.0736125
"1",905.961600446429,925.556462255642,0,919.97
"1",898.032939285715,895.052901263045,0,893.045625
"1",894.100563839286,909.4015020979,0,915.95625
"1",902.751652678572,918.086962778981,0,915.05
"1",921.964931696429,912.260255451445,0,912.19
"1",917.645316071429,950.367856794392,0,964.706075
"1",899.281750892858,1005.33656806232,0,979.703875
"1",909.098850892858,986.812679889888,0,983.42
"1",908.066625000001,1015.55017024898,0,1013.027
"1",920.071604464287,1018.00516677815,0,1024.01375
"1",965.419833928571,1051.54888746316,0,1050.11
"1",974.860861607144,1058.34939423636,0,1052.84
"1",975.187571428572,969.267656323046,0,976.103
"1",1013.33522321429,1020.04748424794,0,999.1035
"1",1039.32913839286,995.615803440004,0,999.877375
"1",1058.41585267857,1000.97427641999,0,1001.2
"1",1036.93269514286,1011.11896144971,0,1012.325988
"1",982.362389678572,1032.33694612501,0,1035.208125
"1",997.462448142858,1032.80947819249,0,1035.2
"1",996.934183035715,1049.95332335729,0,1050.87
"1",1007.73175639286,1125.18882083666,0,1123.788429
"1",1014.11411164286,1121.59086172564,0,1123.223188
"1",1023.27834267857,1130.33292619367,0,1130.01
"1",1032.46807135714,1177.86892254385,0,1174.86625
"1",1064.70439146429,1193.69630583568,0,1190.75195
"1",1115.96848453572,1187.38781611853,0,1187.565286
"1",1116.11391664286,1191.17443861269,0,1190.89
"1",1143.54741275,1264.61910845942,0,1259.410817
"1",1180.43995889286,1283.27461392981,0,1285.14
"1",1178.85397432143,1271.4795860829,0,1275.197375
"1",1175.15569475,1279.92991120373,0,1279.5
"1",1187.78777689286,1146.39169287138,0,1157.3933
"1",1268.56915428572,1179.113020899,0,1192.469143
"1",1300.15306235714,1193.81536961725,0,1192.09
"1",1292.21189475,1226.81267952068,0,1227.68
"1",1254.63400207143,1248.3399330617,0,1245.370786
"1",1159.91552514286,1258.99857525544,0,1257.399625
"1",1184.74708107143,1258.01095257163,0,1257
"1",1176.43239871429,1091.88222197962,0,1091.171888
"1",1224.66838835714,1039.71870734232,0,1049.084488
"1",1278.716922,1131.59041852563,0,1118.630043
"1",1286.4272605,1099.73681169795,0,1113
"1",1215.514065,1036.69274113549,0,1038.789
"1",1064.14664138929,946.040587598094,0,941.9197143
"1",1083.12093636071,1071.87221601288,0,1037.22925
"1",1142.47301363571,1012.44471805603,0,1041.04
"1",1099.92108928571,1039.54255153425,0,1040.5755
"1",1007.04469923929,1038.10503390468,0,1037.90455
"1",958.122179603572,1035.53513601132,0,1034.74
"1",1043.20587678572,1079.90860025043,0,1079.99
"1",1048.39180675,1128.18411017771,0,1141.600363
"1",1033.17336796429,1109.52071669626,0,1133.079314
"1",1022.12197342857,1136.7398177734,0,1133.53
"1",1041.33519621429,1196.53674475181,0,1190.45425
"1",1093.9973265,1187.84158420689,0,1207.744875
"1",1133.90434514286,1222.65978095844,0,1226.617038
"1",1121.75120028571,1208.42102583657,0,1219.09
"1",1134.34325846429,1178.96198653125,0,1180.023713
"1",1191.59394592857,1190.09171171331,0,1176.97
"1",1222.15967425,1222.31397319448,0,1217.930088
"1",1233.83537803571,1232.23282136316,0,1241.686325
"1",1206.15693178571,1227.21393325408,0,1236.63
"1",1170.68428925,1240.90233113863,0,1240.84
"1",1185.74588771429,1295.11018150597,0,1279.414688
"1",1225.47480392857,1310.19435215108,0,1309.109875
"1",1232.41168207143,1267.73580518568,0,1288.02
"1",1232.26549239286,1349.48088448109,0,1331.294429
"1",1259.43992032143,1504.89661171281,0,1452.076288
"1",1281.06321853572,1389.58331173335,0,1447.55
"1",1288.41529814286,1519.74882118395,0,1508.292125
