"","GoldLMean","GoldAMean","",""
"1",1310.97678571429,1336.28551351,1334.85997137466,1333.85
"1",1318.21785714286,1334.54370480029,1336.4823555686,1335.65
"1",1322.34285714286,1332.32947080455,1332.99665870873,1332.2
"1",1329.83214285714,1334.36127171165,1335.66032821164,1334.95
"1",1338.26964285714,1333.08192430986,1333.17626488969,1332.6
"1",1334.35714285714,1332.78543106143,1333.67615536275,1333.4
"1",1337.15178571429,1356.60322348761,1354.31631728414,1353.7
"1",1333.04642857143,1360.54450780811,1356.18043591522,1354.95
"1",1331.32321428572,1353.16063906385,1354.28289787745,1353.15
"1",1328.66785714286,1343.84086791854,1344.99599838997,1343.85
"1",1337.21607142857,1344.96014393141,1344.88070643547,1344.9
"1",1355.525,1345.01610783006,1345.70604753845,1345.05
"1",1355.41071428572,1341.59851816204,1342.09992969604,1341.35
"1",1350.225,1331.49766077731,1332.1616032378,1331.15
"1",1344.80714285714,1333.88237807868,1333.59064387249,1333.6
"1",1346.67678571429,1331.35318835803,1331.97287473247,1331.4
"1",1344.77321428572,1324.52401740662,1325.35571901774,1324.65
"1",1338.50714285714,1315.13382771806,1316.10930175797,1315.45
"1",1332.72142857143,1314.32955968966,1313.72380347247,1314.1
"1",1336.36428571429,1323.66323883989,1322.94033567195,1322.3
"1",1332.02857142857,1324.33911308907,1326.1692403605,1325.35
"1",1323.19642857143,1338.22284909753,1337.17280019876,1336.25
"1",1315.3375,1357.3863548421,1354.3086111868,1352.45
"1",1313.53392857143,1349.81454722062,1353.6594492333,1352.1
"1",1318.38392857143,1344.79375850741,1347.42800305487,1346.6
"1",1324.30892857143,1337.7080186006,1340.30961253072,1339.85
"1",1338.97678571429,1326.79627533069,1330.54568731333,1330.5
"1",1353.90714285714,1329.02053025184,1327.88065751994,1328.35
"1",1353.375,1328.16545970018,1328.24503695677,1327.95
"1",1347.63214285714,1336.82995343575,1334.10131121295,1333.5
"1",1337.71428571429,1320.95886748985,1326.36490051159,1325.75
"1",1328.53392857143,1315.28276844188,1317.92467322632,1317.85
"1",1327.51071428571,1303.16244139502,1307.64061944432,1307.75
"1",1332.73571428571,1332.76898826733,1322.97122762107,1322.3
"1",1334.48392857143,1318.21721954922,1321.16014814717,1320.4
"1",1324.88214285714,1333.92599933249,1332.15633551653,1331.4
