,alphaGold,alphaBitcoin,value
156,0.3,0.6,22625.154104878482
157,0.3,0.7,22522.95434690475
158,0.3,0.8,22421.21537866179
159,0.3,0.9,22319.935126432705
160,0.3,1.0,22219.111525820525
161,0.3,1.1,22118.74252169695
162,0.3,1.2,22018.826068169936
163,0.3,1.3,21919.36012853398
164,0.3,1.4,21820.34267523345
165,0.3,1.5,21721.77168982367
166,0.3,1.6,21623.645162923127
167,0.3,1.7,21525.96109418117
168,0.3,1.8,21428.71749222996
169,0.3,1.9,21331.912374647607
170,0.3,2.0,21235.543767921346
171,0.3,2.1,21139.609707399697
172,0.3,2.2,21044.108237261673
173,0.3,2.3,20949.03741046948
174,0.3,2.4,20854.395288732354
175,0.3,2.5,20760.17994247099
176,0.3,2.6,20666.38945076993
177,0.3,2.7,20573.02190134853
178,0.3,2.8,20480.07539051389
179,0.3,2.9,20387.548023126066
180,0.3,3.0,20295.437912562447
181,0.3,3.1,20203.74318067218
182,0.3,3.2,20112.46195774745
183,0.3,3.3,20021.592382475792
184,0.3,3.4,19931.132601912268
185,0.3,3.5,19841.080771433393
186,0.3,3.6,19751.435054703976
187,0.3,3.7,19662.19362364229
188,0.3,3.8,19573.354658376335
189,0.3,3.9,19484.916347214792
190,0.3,4.0,19396.876886603575
191,0.3,4.1,19309.23448109232
192,0.3,4.2,19221.987343300625
193,0.3,4.3,19135.13369387585
194,0.3,4.4,19048.671761463793
195,0.3,4.5,18962.599782666894
196,0.3,4.6,18876.91600201101
197,0.3,4.7,18791.618671912744
198,0.3,4.8,18706.70605263782
199,0.3,4.9,18622.176412273195
200,0.4,0.0,23130.268008809337
201,0.4,0.1,23025.791957200952
202,0.4,0.2,22921.78693437174
203,0.4,0.3,22818.250820638747
204,0.4,0.4,22715.181505835357
205,0.4,0.5,22612.576889278178
206,0.4,0.6,22510.434879716064
207,0.4,0.7,22408.75339529161
208,0.4,0.8,22307.5303635024
209,0.4,0.9,22206.76372115105
210,0.4,1.0,22106.451414312018
211,0.4,1.1,22006.591398282428
212,0.4,1.2,21907.181637548172
213,0.4,1.3,21808.220105735567
214,0.4,1.4,21709.704785573864
215,0.4,1.5,21611.633668857503
216,0.4,1.6,21514.004756397688
217,0.4,1.7,21416.816057990993
218,0.4,1.8,21320.065592370895
219,0.4,1.9,21223.75138717192
220,0.4,2.0,21127.871478892124
221,0.4,2.1,21032.42391284609
222,0.4,2.2,20937.40674313389
223,0.4,2.3,20842.81803259435
224,0.4,2.4,20748.65585276915
225,0.4,2.5,20654.91828386677
226,0.4,2.6,20561.603414716094
227,0.4,2.7,20468.709342736573
228,0.4,2.8,20376.234173892208
229,0.4,2.9,20284.17602265621
230,0.4,3.0,20192.53301197606
231,0.4,3.1,20101.303273228325
232,0.4,3.2,20010.484946188928
233,0.4,3.3,19920.0761789877
234,0.4,3.4,19830.07512807875
235,0.4,3.5,19740.479958195643
236,0.4,3.6,19651.28884231797
237,0.4,3.7,19562.49996163741
238,0.4,3.8,19474.111505513298
239,0.4,3.9,19386.121671444234
240,0.4,4.0,19298.528665024864
241,0.4,4.1,19211.330699912414
242,0.4,4.2,19124.525997793127
243,0.4,4.3,19038.11278834017
244,0.4,4.4,18952.08930918474
245,0.4,4.5,18866.453805873996
246,0.4,4.6,18781.204531838794
247,0.4,4.7,18696.33974836064
248,0.4,4.8,18611.85772452979
249,0.4,4.9,18527.756737218457
250,0.5,0.0,23012.98616828535
251,0.5,0.1,22909.03994036867
252,0.5,0.2,22805.562352173692
253,0.5,0.3,22702.55129477029
254,0.5,0.4,22600.004668696023
255,0.5,0.5,22497.92038392391
